"","price","lotsize","bedrooms","bathrms","stories","driveway","recroom","fullbase","gashw","airco","garagepl","prefarea","u2","u"
"23",37900,4000,3,1,2,1,0,0,0,1,0,0,299001454.400083,-17291.6585208037
"24",38000,3934,2,1,1,1,0,0,0,0,0,0,283037847.359545,-16823.7286996535
"25",42000,4960,2,1,1,1,0,0,0,0,0,0,343856385.903777,-18543.3650102612
"26",42300,3000,2,1,2,1,0,0,0,0,0,0,53537965.9960516,-7316.96426095219
"27",43500,3800,2,1,1,1,0,0,0,0,0,0,111866998.953087,-10576.7196688334
"28",44000,4960,2,1,1,1,0,1,0,1,0,0,273682925.862733,-16543.3650102612
"29",44500,3000,3,1,1,0,0,0,0,1,0,0,26183323.247862,-5116.96426095219
"30",44900,4500,3,1,2,1,0,0,0,1,0,0,171060388.811813,-13079.0056507295
"31",45000,3500,2,1,1,0,0,1,0,0,0,0,54823827.1730849,-7404.31139087794
"32",48000,3500,4,1,2,1,0,0,0,1,2,0,19397958.8278172,-4404.31139087795
"33",49000,4000,2,1,1,1,0,0,0,0,0,0,38336635.2382411,-6191.6585208037
"34",51500,4500,2,1,1,1,0,0,0,0,0,0,41977514.2221842,-6479.00565072946
"35",61000,6360,2,1,2,1,0,0,0,0,0,0,53992177.774659,-7347.93697405326
"36",61000,4500,2,1,1,1,0,0,0,1,2,0,9126406.85832455,3020.99434927054
"37",61700,4032,2,1,1,1,0,1,0,0,0,0,40068282.9904494,6329.95126288105
"38",67000,5170,3,1,4,1,0,0,0,1,0,0,27941258.8939187,5285.94919517003
"39",82000,5400,4,2,2,1,0,0,0,1,2,0,14498498.5868717,-3807.68940262618
"40",54500,3150,2,2,1,0,0,1,0,0,0,0,352111238.381942,-18764.6273179603
"41",66500,3745,3,1,2,1,0,1,0,0,0,0,162050061.616001,12729.8885154584
"42",70000,4520,3,1,2,1,0,1,0,1,0,0,141836201.303767,11909.5004640735
"43",82000,4640,4,1,2,1,0,0,0,0,1,0,540122567.154922,23240.5371528913
"44",92000,8580,5,3,2,1,0,0,0,0,2,0,1179694156.85036,-34346.6760669844
"45",38000,2000,2,1,2,1,0,0,0,0,0,0,36509026.7662012,-6042.27000110068
"46",44000,2160,3,1,2,0,0,1,0,0,0,0,872769.031318042,-934.221082676923
"47",41000,3040,2,1,1,0,0,0,0,0,0,0,78144751.9165027,-8839.95203134625
"48",43000,3090,3,1,2,0,0,0,0,0,0,0,50675700.9640253,-7118.68674433883
"49",48000,4960,4,1,3,0,0,0,0,0,0,0,157336005.780644,-12543.3650102612
"50",54800,3350,3,1,2,1,0,0,0,0,0,0,10445130.73522,3231.89274809978
"51",55000,5300,5,2,2,1,0,0,0,0,0,0,915075808.635172,-30250.219976641
"52",57000,4100,4,1,1,0,0,1,0,0,0,0,1564680.89350467,1250.87205321115
"53",68000,9166,2,1,1,1,0,1,0,1,2,0,255697019.848859,-15990.5290671966
"54",95000,4040,3,1,2,1,0,1,1,0,1,0,1567000228.25098,39585.3537088022
"55",38000,3630,3,3,2,0,1,0,0,0,0,0,3690798150.66899,-60751.9394807194
"56",25000,3620,2,1,1,1,0,0,0,0,0,0,788108752.497329,-28073.2747020601
"57",25245,2400,3,1,1,0,0,0,0,0,0,0,442140940.609623,-21027.1477050413
"58",56000,7260,3,2,1,1,1,1,0,0,3,0,1614160852.95683,-40176.62072595
"59",35500,4400,3,1,2,1,0,0,0,0,0,0,480553750.452777,-21921.5362247443
"60",30000,2400,3,1,2,1,0,0,0,0,0,0,264782790.93468,-16272.1477050413
"61",48000,4120,2,1,2,1,0,0,0,0,0,0,61789375.5854931,-7860.62183198588
"62",48000,4750,2,1,1,1,0,0,0,0,0,0,129337832.54304,-11372.6792156923
"63",52000,4280,2,1,1,1,0,0,0,1,2,0,22586949.2987244,-4752.57291356212
"64",54000,4820,3,1,2,1,0,0,0,0,0,0,33211106.4713015,-5762.90781388194
"65",56000,5500,4,1,2,1,1,1,0,0,0,0,57058382.3391109,-7553.69991058097
"66",60000,5500,3,1,2,1,0,0,0,1,0,0,12628783.0544632,-3553.69991058097
"67",60000,5040,3,1,2,1,0,1,0,1,0,0,978794.725950476,-989.340551049272
"68",67000,6000,2,1,1,1,0,1,0,1,1,0,434219.002824948,658.952959493277
"69",47000,2500,2,1,1,0,0,0,0,1,0,0,29030.3220396629,170.382868973565
"70",70000,4095,3,1,2,0,1,1,0,1,0,0,203882573.753726,14278.7455245104
"71",45000,4095,2,1,1,1,0,0,0,0,2,0,114945297.528206,-10721.2544754896
"72",51000,3150,3,1,2,1,0,1,0,0,0,0,299024.798835207,546.831600070083
"73",32500,1836,2,1,1,0,0,1,0,0,0,0,112954812.149068,-10628.020142485
"74",34000,2475,3,1,2,1,0,0,0,0,0,0,161042439.339962,-12690.2497745301
"75",35000,3210,3,1,2,1,0,1,0,0,0,0,249249894.275592,-15787.650055521
"76",36000,3180,3,1,1,0,0,0,0,0,0,0,213756365.98616,-14620.4092277255
"77",45000,1650,3,1,2,0,0,1,0,0,0,0,8461542.07106347,2908.87298984735
"78",47000,3180,4,1,2,1,0,1,0,1,0,0,13107362.9761997,-3620.40922772546
"79",55000,3180,2,2,1,1,0,1,0,0,2,0,339733763.342528,-18431.8681457558
"80",63900,6360,2,1,1,1,0,1,0,1,1,0,19784143.3251501,-4447.93697405326
"81",50000,4240,3,1,2,1,0,0,0,1,0,0,42635482.1418811,-6529.58514316806
"82",35000,3240,2,1,1,0,1,0,0,0,1,0,254558543.098538,-15954.8908833165
"83",50000,3650,3,1,2,1,0,0,0,0,0,0,10500940.8992358,-3240.51552985567
"84",43000,3240,3,1,2,1,0,0,0,0,2,0,63280288.9654728,-7954.89088331655
"85",55500,3780,2,1,2,1,1,1,0,0,0,0,2355531.8952146,1534.77421636363
"86",57000,6480,3,1,2,0,0,0,0,1,1,0,144405892.465292,-12016.9002852354
"87",60000,5850,2,1,1,1,1,1,0,0,2,0,30303295.3705142,-5504.84290152899
"88",78000,3150,3,2,1,1,1,1,0,1,0,0,22423754.437808,4735.37268203971
"89",35000,3000,2,1,1,1,0,0,0,0,1,0,213655644.205954,-14616.9642609522
"90",44000,3090,2,1,1,1,1,1,0,0,0,0,37438327.4753477,-6118.68674433883
"91",47000,6060,3,1,1,1,1,1,0,0,0,0,387126429.470969,-19675.5286960978
"92",58000,5900,4,2,2,0,0,1,0,0,1,0,936056260.428188,-30595.0365325519
"93",163000,7420,4,1,2,1,1,1,0,1,2,0,7875300012.70768,88742.8871105041
"94",128000,8500,3,2,4,1,0,0,0,1,2,0,620545883.656335,24910.7583918341
"95",123500,8050,3,1,1,1,1,1,0,1,1,0,2091308787.50136,45730.8297267977
"96",39000,6800,2,1,1,1,0,0,0,0,0,0,1011291036.3614,-31800.8024483879
"97",53900,8250,3,1,1,1,0,0,0,0,2,0,624205708.778534,-24984.1091251726
"98",59900,8250,3,1,1,1,0,1,0,0,3,0,360396399.276462,-18984.1091251726
"99",35000,3500,2,1,1,1,1,0,0,0,0,0,302910054.990644,-17404.3113908779
"100",43000,2835,2,1,1,1,0,0,0,0,0,0,32457400.8533442,-5697.13970807669
"101",57000,4500,3,2,2,0,0,1,0,1,0,0,565986204.397417,-23790.4645687598
"102",79000,3300,3,3,2,1,0,1,0,0,0,0,320850146.477185,-17912.2903749684
"103",125000,4320,3,1,2,1,0,1,1,0,2,0,4627324344.26213,68024.4393160438
"104",132000,3500,4,2,2,1,0,0,1,0,2,0,3224448741.61066,56784.2296910917
"105",58000,4992,3,2,2,1,0,0,0,0,2,0,651945024.554347,-25533.2141446068
"106",43000,4600,2,1,1,1,0,0,0,0,0,0,241382057.809374,-15536.4750767146
"107",48000,3720,2,1,1,0,0,0,0,1,0,0,31705279.4355164,-5630.74412804528
"108",58500,3680,3,2,2,1,0,0,0,0,0,0,313970589.985948,-17719.2152756816
"109",73000,3000,3,2,2,1,1,1,0,0,0,0,326700.062324406,571.576821017443
"110",63500,3750,2,1,1,1,1,1,0,0,0,0,94129095.917091,9702.01504415918
"111",43000,5076,3,1,1,0,0,0,0,0,0,0,330877174.826288,-18190.0295444039
"112",46500,4500,2,1,1,0,0,0,0,0,0,0,131767570.729479,-11479.0056507295
"113",92000,5000,3,1,2,1,0,0,0,1,0,0,975540718.622485,31233.6472193448
"114",75000,4260,4,1,2,1,0,1,0,1,0,0,337049979.242736,18358.9209716349
"115",75000,6540,4,2,2,0,0,0,0,1,0,0,294563106.346448,-17162.8408588569
"116",85000,3700,4,1,2,1,1,0,0,1,0,0,991037605.27241,31480.7497571518
"117",93000,3760,3,1,2,1,0,0,1,0,2,0,1532430306.27926,39146.2681015607
"118",94500,4000,3,2,2,1,0,1,0,1,1,0,272147134.2369,16496.8825611659
"119",106500,4300,3,2,2,1,0,1,0,0,1,0,719552420.570621,26824.4742832105
"120",116000,6840,5,1,2,1,1,1,0,1,1,0,2022859446.28413,44976.209781218
"121",61500,4400,2,1,1,1,0,0,0,0,1,0,16633866.7660729,4078.46377525569
"122",80000,10500,4,2,2,1,0,0,0,0,1,0,1172283793.03301,-34238.6301278689
"123",37000,4400,2,1,1,1,0,0,0,0,0,0,417039141.778544,-20421.5362247443
"124",59500,4840,3,1,2,1,0,0,0,0,1,0,140176.632273219,-374.40169907897
"125",70000,4120,2,1,1,1,0,1,0,0,1,0,199922014.978114,14139.3781680141
"126",95000,4260,4,2,2,1,0,0,1,0,0,0,241723576.308273,15547.4620536045
"127",117000,5960,3,3,2,1,1,1,0,0,1,0,27657321.7977924,5259.02289382661
"128",122500,8800,3,2,2,1,0,0,0,1,2,0,314649064.76254,17738.3501138787
"129",123500,4560,3,2,2,1,1,1,0,1,1,0,1795645182.48915,42375.0537756491
"130",127000,4600,3,2,2,1,1,0,0,1,2,0,2084111130.54816,45652.066005255
"131",35000,4840,2,1,2,1,0,0,0,0,0,0,618735859.887143,-24874.401699079
"132",44500,3850,3,1,2,1,0,0,0,0,0,0,97129981.0722528,-9855.45438182597
"133",49900,4900,3,1,2,0,0,0,0,0,0,0,106273076.020193,-10308.8833546701
"134",50500,3850,3,1,1,1,0,0,0,0,2,0,14864528.4903411,-3855.45438182597
"135",65000,3760,3,1,1,1,0,0,0,0,2,0,124239292.591869,11146.2681015607
"136",90000,6000,4,2,4,1,0,0,0,0,1,0,718246.15031513,847.494041462906
"137",46000,4370,3,1,2,1,0,0,0,0,0,0,126659164.881782,-11254.2953969488
"138",35000,7700,2,1,1,1,0,0,0,0,0,0,1666111351.21486,-40818.0272822543
"139",26500,2990,2,1,1,0,0,0,0,0,1,0,531819744.204336,-23061.2173183537
"140",43000,3750,3,1,2,1,0,0,0,0,0,0,116596479.106565,-10797.9849558408
"141",56000,3000,3,1,2,1,0,0,0,0,0,0,40743145.2459616,6383.03573904781
"142",40000,2650,3,1,2,1,0,1,0,0,1,0,58764815.7436482,-7665.82127000416
"143",51000,4500,4,2,2,1,0,1,0,0,2,0,887471779.222534,-29790.4645687598
"144",51000,4500,2,1,1,0,0,0,0,0,0,0,48706519.8729137,-6979.00565072946
"145",57250,4500,3,1,2,0,0,1,0,1,0,0,531449.238795479,-729.005650729457
"146",44000,4500,2,1,2,1,0,0,1,0,1,0,195412598.983126,-13979.0056507295
"147",61000,2175,3,1,2,0,1,1,0,1,0,0,255429390.42861,15982.1585034253
"148",62000,4500,3,2,3,1,0,0,1,0,1,0,353081558.709818,-18790.4645687598
"149",80000,4800,5,2,3,0,0,1,1,0,0,0,6065742.65908742,-2462.87284671528
"150",50000,4600,4,1,2,1,0,0,0,0,0,0,72871406.7353697,-8536.47507671461
"151",59900,3450,3,1,2,1,0,0,0,0,1,0,60441657.9914399,7774.42332211463
"152",35500,3000,3,1,2,0,0,0,0,0,0,0,199288679.945001,-14116.9642609522
"153",37000,3600,2,2,2,1,0,1,0,0,1,0,1503364119.53952,-38773.2397348935
"154",42000,3600,3,1,2,0,0,0,0,0,1,0,120160638.676948,-10961.7808168631
"155",48000,3750,3,1,1,1,0,0,0,0,0,0,33616629.5481565,-5797.98495584082
"156",60000,2610,4,3,2,0,0,0,0,0,0,0,1093343911.39242,-33065.7513356708
"157",60000,2953,3,1,2,1,0,1,0,1,0,0,113317012.203713,10645.0463692608
"158",60000,2747,4,2,2,0,0,0,0,0,0,0,121396886.607059,-11018.0255312401
"159",62000,1905,5,1,2,0,0,1,0,0,0,0,341781220.914106,18487.3259535852
"160",63000,3968,3,1,2,0,0,0,0,0,0,0,63787883.1760887,7986.73169551155
"161",63900,3162,3,1,2,1,0,0,0,1,1,0,179022667.801342,13379.9352689519
"162",130000,6000,4,1,2,1,0,1,0,0,2,0,4052462291.89898,63658.9529594933
"163",25000,2910,3,1,1,0,0,0,0,0,0,0,581544885.990443,-24115.2417775656
"164",50000,2135,3,2,2,0,0,0,0,0,0,0,309982244.925704,-17606.312644211
"165",52900,3120,3,1,2,0,0,1,1,0,0,0,6833374.65812729,2614.07242786563
"166",62000,4075,3,1,1,1,1,1,0,0,2,0,40835159.713378,6390.23940970744
"167",73500,3410,3,1,2,0,0,0,0,1,0,0,466448165.898817,21597.4110925087
"168",38000,2800,3,1,1,1,0,0,0,0,0,0,110292537.690901,-10502.0254089819
"169",46000,2684,2,1,1,1,0,0,0,1,1,0,3442363.97588376,-1855.36087483911
"170",48000,3100,3,1,2,0,0,1,0,0,0,0,4728161.85888793,-2174.43368693734
"171",52500,3630,2,1,1,1,0,1,0,0,0,0,395668.229449064,-629.021644658643
"172",32000,1950,3,1,1,0,0,0,1,0,0,0,138380762.474565,-11763.5352881081
"173",38000,2430,3,1,1,0,0,0,0,0,0,0,71223278.8081778,-8439.38853283683
"174",46000,4320,3,1,1,0,0,0,0,0,1,0,120462932.327205,-10975.5606839562
"175",50000,3036,3,1,2,1,0,1,0,0,0,0,33250.3356648839,182.346745693154
"176",57500,3630,3,2,2,1,0,0,1,0,2,0,340051323.382911,-18440.480562689
"177",70000,5400,4,1,2,1,0,0,0,0,0,0,49052787.424905,7003.76951540418
"178",69900,3420,4,2,2,1,0,1,0,1,2,0,23714901.0836108,-4869.7947681202
"179",74500,3180,3,2,2,1,0,0,0,0,2,0,1140905.65805109,1068.13185424417
"180",42000,3660,4,1,2,0,0,0,0,0,0,0,127605545.846577,-11296.2624724542
"181",60000,4410,2,1,1,0,0,0,0,0,1,0,6364100.21777187,2522.71683265718
"182",50000,3990,3,1,2,1,0,0,0,0,0,0,26377587.7391421,-5135.91157820518
"183",58000,4340,3,1,1,1,0,0,0,0,0,0,833469.359704021,912.945430846785
"184",63900,3510,3,1,2,1,0,0,0,0,0,0,130872265.333461,11439.9416665235
"185",28000,3420,5,1,2,0,0,0,0,0,0,0,574001856.705699,-23958.3358500898
"186",54000,3420,2,1,2,1,0,0,1,0,1,0,4168392.50102843,2041.66414991017
"187",44700,5495,3,1,1,1,0,1,0,0,0,0,354411741.121958,-18825.8264392817
"188",47000,3480,4,1,2,0,0,0,0,0,1,0,28013917.1484423,-5292.81750568091
"189",50000,7424,3,1,1,0,0,0,0,0,0,0,589489830.873089,-24279.4116665353
"190",57250,3460,4,1,2,1,0,0,0,1,0,0,25691480.2402646,5068.67637951612
"191",67000,3630,3,1,2,1,0,0,0,0,2,0,192404040.534348,13870.9783553414
"192",52500,3630,2,1,1,1,0,0,0,1,0,0,395668.229449064,-629.021644658643
"193",42000,3480,3,1,2,0,0,0,0,0,1,0,105942092.205251,-10292.8175056809
"194",57500,3460,3,2,1,1,0,1,0,1,1,0,305997440.939749,-17492.7825385143
"195",33000,3180,2,1,1,1,0,0,0,0,0,0,310478821.352513,-17620.4092277255
"196",34400,3635,2,1,1,0,0,0,0,0,0,0,351821114.391045,-18756.8951159579
"197",40000,3960,3,1,1,1,0,0,0,0,0,0,224061104.034169,-14968.6707504096
"198",40500,4350,3,1,2,0,0,0,1,0,1,0,276982842.159566,-16642.8015117517
"199",46500,3930,2,1,1,0,0,0,0,0,0,0,68913738.7600727,-8301.4299226141
"200",52000,3570,3,1,2,1,0,1,0,0,0,0,631293.794227462,-794.53998906755
"201",53000,3600,3,1,1,1,0,0,0,0,1,0,1460.70595965217,38.2191831369036
"202",53900,2520,5,2,1,0,0,1,0,1,1,0,251303973.520409,-15852.5699342538
"203",50000,3480,3,1,1,0,0,0,0,1,0,0,5257012.11435685,-2292.81750568091
"204",55500,3180,4,2,2,1,0,0,0,0,0,0,321551895.196773,-17931.8681457558
"205",56000,3290,2,1,1,1,0,0,1,0,1,0,22718324.9561595,4766.37440369087
"206",60000,4000,4,2,2,0,0,0,0,0,0,0,324112237.516452,-18003.1174388341
"207",60000,2325,3,1,2,0,0,0,0,0,0,0,200108024.881034,14145.9543644476
"208",69500,4350,2,1,1,1,0,1,0,0,0,0,152700354.477965,12357.1984882483
"209",72000,3540,2,1,1,0,1,1,0,0,0,0,375301537.786852,19372.700838728
"210",92500,3960,3,1,1,1,0,1,0,0,2,0,1408600675.24116,37531.3292495904
"211",40500,2640,2,1,1,0,0,0,0,0,1,0,50553156.9412329,-7110.07432740565
"212",42000,2700,2,1,1,0,0,0,0,0,0,0,35337745.8349823,-5944.55598299674
"213",47900,2700,3,1,1,0,0,0,0,0,0,0,1985.23562080552,-44.555982996737
"214",52000,3180,3,1,2,0,0,1,0,0,0,0,1903270.69894506,1379.59077227454
"215",62000,3500,4,1,2,1,0,0,0,0,2,0,92077239.8832348,9595.68860912205
"216",41000,3630,2,1,1,1,0,0,0,0,0,0,147113166.056598,-12129.0216446586
"217",138300,6000,4,3,2,1,1,1,1,0,2,0,693586746.022673,26336.0351234325
"218",42000,3150,3,1,2,0,0,0,0,0,0,0,71456055.9975737,-8453.16839992992
"219",47000,3792,4,1,2,1,0,0,0,0,0,0,49450741.4368205,-7032.12211475459
"220",64500,3510,3,1,3,1,0,0,0,0,0,0,144960195.33329,12039.9416665235
"221",46000,3120,3,1,2,0,0,0,0,0,0,0,18369175.1535816,-4285.92757213437
"222",58000,3000,4,1,3,1,0,1,0,1,2,0,70275288.2021528,8383.03573904781
"223",70100,4200,3,1,2,1,0,0,0,0,1,0,190257956.036765,13793.402627226
"224",78500,2817,4,2,2,0,1,1,0,0,1,0,50292859.4927505,7091.74587057027
"225",87250,3240,4,1,3,1,0,0,0,0,1,0,1317334945.79196,36295.1091166834
"226",70800,2800,3,2,2,0,0,1,0,1,1,0,263666.154087231,-513.484327012258
"227",56000,3816,2,1,1,1,0,1,0,1,2,0,3363868.60525989,1834.08522300898
"228",48000,3185,2,1,1,1,0,1,0,0,2,0,7013401.25395366,-2648.28269902472
"229",68000,6321,3,1,2,1,0,1,0,1,1,0,17036.4879279842,-130.523897919056
"230",79000,3650,3,2,2,1,0,0,0,0,2,0,8690854.65591681,2948.02555211396
"231",80000,4700,4,1,2,1,1,1,0,1,1,0,437063156.456198,20906.0554973002
"232",87000,6615,4,2,2,1,1,0,1,0,1,0,31146923.9694527,-5580.94292834577
"233",25000,3850,3,1,2,1,0,0,0,0,0,0,861742701.963466,-29355.454381826
"234",32500,3970,1,1,1,0,0,0,0,0,0,0,507349392.409099,-22524.4176930082
"235",36000,3000,2,1,2,1,0,0,0,0,0,0,185421715.684049,-13616.9642609522
"236",42500,4352,4,1,2,0,0,0,0,0,1,0,214738276.987566,-14653.9509002714
"237",43000,3630,4,1,2,1,0,0,0,0,3,0,102597079.477963,-10129.0216446586
"238",50000,3600,6,1,2,1,0,0,0,0,1,0,8772145.60713823,-2961.7808168631
"239",26000,3000,2,1,1,1,0,1,0,0,2,0,557761000.903093,-23616.9642609522
"240",30000,3000,4,1,2,1,0,0,0,0,0,0,384825286.815475,-19616.9642609522
"241",34000,2787,4,2,2,1,0,0,0,0,0,0,1386893071.73249,-37241.0133016342
"242",52000,3000,2,1,2,1,0,0,0,1,0,0,5678859.33357914,2383.03573904781
"243",70000,4770,3,1,1,1,1,1,0,0,0,0,110582615.372059,10515.8268991106
"244",27000,3649,2,1,1,1,0,0,0,0,0,0,688272120.647213,-26234.9408355958
"245",32500,3970,3,1,2,1,0,1,0,0,0,0,507349392.409099,-22524.4176930082
"246",37200,2910,2,1,1,0,0,0,0,0,0,0,141972986.617844,-11915.2417775656
"247",38000,3480,2,1,1,1,0,0,0,0,1,0,204284632.250699,-14292.8175056809
"248",42000,6615,3,1,2,1,0,0,0,0,0,0,771144242.199163,-27769.4840103154
"249",44500,3500,2,1,1,1,0,0,0,0,0,0,62478138.5639628,-7904.31139087794
"250",45000,3450,3,1,2,1,0,1,0,0,0,0,50773842.9924239,-7125.57667788537
"251",48500,3450,3,1,1,1,0,1,0,0,2,0,13144806.2472263,-3625.57667788537
"252",52000,3520,2,2,1,1,0,1,0,0,0,0,544161254.781589,-23327.2641941053
"253",53900,6930,4,1,2,0,0,0,0,0,1,0,310658698.014307,-17625.5127021686
"254",60000,4600,3,2,2,1,0,0,0,1,1,0,455734285.843988,-21347.933994745
"255",61000,4360,4,1,2,1,0,0,0,0,0,0,14451033.8539229,3801.45154564976
"256",64500,3450,3,1,2,1,0,1,0,0,1,0,153126352.554895,12374.4233221146
"257",71000,4410,4,3,2,1,0,1,0,0,2,0,1030422904.45891,-32100.2010034036
"258",75500,4600,2,2,1,1,0,0,0,1,2,0,34198332.006894,-5847.93399474498
"259",33500,3640,2,1,1,1,0,0,0,0,0,0,387490114.333866,-19684.7685872572
"260",41000,6000,2,1,1,1,0,0,0,0,0,0,642168665.109175,-25341.0470405067
"261",41000,5400,4,1,2,1,0,0,0,0,0,0,483834155.531462,-21996.2304845958
"262",46200,3640,4,1,2,1,0,1,0,0,0,0,48786992.2175343,-6984.76858725716
"263",48500,3640,2,1,1,1,0,0,0,0,0,0,21947056.7161514,-4684.76858725716
"264",48900,4040,2,1,1,1,0,0,0,0,0,0,42440616.2994168,-6514.64629119776
"265",50000,3640,2,1,1,1,0,0,0,0,1,0,10142750.9543799,-3184.76858725716
"266",51000,3640,2,1,1,1,0,0,0,0,0,0,4773213.77986563,-2184.76858725716
"267",52500,5640,2,1,1,0,0,0,0,0,0,0,140047274.432216,-11834.1571069602
"268",52500,3600,2,1,1,1,0,0,0,0,0,0,213241.522822749,-461.780816863096
"269",54000,3600,2,1,1,1,0,0,0,0,0,0,1077899.07223346,1038.2191831369
"270",59000,4632,4,1,2,1,0,0,0,1,0,0,81301.8011189506,285.134706970145
"271",60000,3640,3,2,2,1,0,1,0,0,0,0,255879294.400917,-15996.2275052875
"272",63000,4900,2,1,2,1,0,1,0,0,0,0,7790332.12783785,2791.11664532994
"273",64000,4510,4,1,2,1,0,0,0,1,2,0,35584176.6228074,5965.24740667203
"274",64900,4100,2,2,1,1,1,1,0,0,0,0,186611633.491271,-13660.5868648192
"275",65000,3640,3,1,2,1,0,0,0,1,0,0,139599693.336665,11815.2314127428
"276",66000,5680,3,1,2,1,1,0,0,1,1,0,2081830.90494512,1442.85512264576
"277",70000,6300,3,1,1,1,0,0,0,1,2,0,3946359.77174622,1986.54468153783
"278",65500,4000,3,1,2,1,0,0,0,0,1,0,106261904.051719,10308.3414791963
"279",57000,3960,3,1,2,1,0,0,0,0,0,0,4126298.52024134,2031.32924959036
"280",52000,5960,3,1,2,1,1,1,0,0,0,0,199319597.554414,-14118.0592701127
"281",54000,5830,2,1,1,1,0,0,0,0,2,0,129808401.807953,-11393.349016332
"282",74500,4500,4,2,1,0,0,1,0,1,2,0,39569944.4908227,-6290.46456875983
"283",90000,4100,3,2,3,1,0,0,0,1,2,0,130860172.877347,11439.4131351808
"284",45000,6750,2,1,1,1,0,0,0,0,0,0,651375941.490109,-25522.0677353954
"285",45000,9000,3,1,2,1,0,0,0,0,2,0,1448954108.21812,-38065.1298200613
"286",65000,2550,3,1,2,1,0,1,0,0,0,0,320111073.737418,17891.648155981
"287",55000,7152,3,1,2,1,0,0,0,1,0,0,315527537.863393,-17763.0948278557
"288",62000,6450,4,1,2,1,0,0,0,0,0,0,46917834.6828959,-6849.6594574399
"289",30000,3360,2,1,1,1,0,0,0,0,1,0,467591070.22494,-21623.8541944987
"290",34000,3264,2,1,1,1,0,0,0,0,0,0,292023105.320054,-17088.683545553
"291",38000,4000,3,1,1,1,0,0,0,0,0,0,295553122.695923,-17191.6585208037
"292",39000,4000,3,1,2,1,0,0,0,0,1,0,262169805.654315,-16191.6585208037
"293",45000,3069,2,1,1,1,0,0,0,0,1,0,25016184.267277,-5001.61816488195
"294",47000,4040,2,1,1,1,0,0,0,0,0,0,70806272.2059683,-8414.64629119776
"295",47500,4040,2,1,1,1,0,0,0,0,1,0,62641625.9147705,-7914.64629119776
"296",49000,3185,2,1,1,1,0,0,0,0,2,0,2716835.85590422,-1648.28269902472
"297",50000,5900,2,1,1,1,0,0,0,0,1,0,249121322.313626,-15783.5776145216
"298",50000,3120,3,1,2,1,0,0,0,0,1,0,81754.5765066573,-285.927572134373
"299",52900,5450,2,1,1,1,0,0,0,0,0,0,107639902.85117,-10374.9651975884
"300",53000,4040,2,1,1,1,0,0,0,0,0,0,5830516.71159511,-2414.64629119776
"301",55000,4080,2,1,1,1,0,0,0,0,0,0,406577.196502083,-637.634061591822
"302",56000,8080,3,1,1,1,0,0,0,1,2,0,481206131.991982,-21936.4111009979
"303",58500,4040,2,1,2,1,0,0,0,0,1,0,9519407.50841973,3085.35370880224
"304",59500,4080,3,1,2,1,0,0,0,0,2,0,14917870.6421757,3862.36593840818
"305",60000,5800,3,1,1,1,0,0,1,0,2,0,27312206.7982874,-5226.10818853642
"306",64000,5885,2,1,1,1,0,0,0,1,1,0,2889854.4839527,-1699.9572006238
"307",67000,9667,4,2,2,1,1,1,0,0,1,0,1814326341.67199,-42594.9098094126
"308",68100,3420,4,2,2,1,0,0,0,0,0,0,44486162.2488435,-6669.7947681202
